koid	name	op	
KO06197	TU-Exp-0825	emrA,mprA,emrB
KO06196	TU-Exp-0820	dinF,lexA
KO06199	TU-Exp-0842	cheZ,cheY,cheB,cheR,tap,tar
KO06198	TU-Exp-0836	rpiB,alsC,alsA,alsR,alsE
KO06043	TU-4651	yjjI,yjjW
KO06044	TU-4652	lplA,ytjB
KO03748	TU-0927	ynbD,ynbC,ynbA,ynbB
KO04686	TU-2545	rluA,rapA
KO03742	TU-0917	paaX,paaY
KO05969	TU-4554	mscM,psd
KO05968	TU-4552	frdD,frdA,frdC,frdB
KO05415	TU-3679	yfdV,yfdE
KO05414	TU-3677	emrY,emrK
KO05416	TU-3680	oxc,frc
KO05412	TU-3675	yfdK,yfdN
KO04157	TU-1580	norW,norV
KO05561	TU-3925	recB,recD
KO05565	TU-3930	lgt,thyA
KO05564	TU-3929	ppdA,ppdB,ppdC,ygdB
KO05566	TU-3931	ptsP,lgt,thyA,rppH
KO05341	TU-3568	yehU,yehT
KO05342	TU-3569	osmF,yehY,yehW,yehX
KO05745	TU-4233	glpG,glpE
KO05747	TU-4235	glgA,glgP
KO05740	TU-4220	envZ,ompR
KO05743	TU-4227	rtcA,rtcB
KO05742	TU-4226	malP,malQ
KO05749	TU-4239	glgA,glgB,glgC,glgP,glgX
KO05748	TU-4236	glgA,glgC,glgP
KO05989	TU-4582	treR,treB,treC
KO05988	TU-4581	nrdD,nrdG
KO04153	TU-1575	srlB,srlD,srlE
KO03928	TU-1217	fliT,fliS,fliD
KO05188	TU-3329	ydhY,ydhV,ydhW,ydhX,ydhU,ydhT
KO04166	TU-1595	queD,ygcN,ygcO,ygcP
KO04167	TU-1596	ygcE,yqcE
KO04164	TU-1592	ygbK,ygbJ,ygbM,ygbL,ygbN
KO04160	TU-1584	fhlA,hypE
KO05053	TU-3120	yciC,yciB
KO05896	TU-4463	glpF,glpK
KO04290	TU-1785	ispB,sfsB
KO04291	TU-1788	yrbG,kdsD
KO04292	TU-1790	lptC,kdsC
KO04293	TU-1791	lptA,lptB
KO04294	TU-1793	ptsN,yhbJ,npr,rpoN,hpf
KO04295	TU-1794	ptsN,yhbJ,npr,hpf
KO04298	TU-1800	gltD,gltB
KO04761	TU-2657	betI,betA,betB
KO04768	TU-2665	lacA,lacY
KO04769	TU-2666	lacA,lacY,lacZ
KO04901	TU-2891	bioA,ybhB
KO04904	TU-2894	ybhP,ybhN,clsB
KO04905	TU-2895	ybhF,ybhS,ybhR
KO04906	TU-2897	ybiH,ybhG,ybhF,ybhS,ybhR
KO04580	TU-2344	yjdJ,yjdI
KO04581	TU-2345	yjdK,yjdO
KO04583	TU-2349	groL,groS
KO04618	TU-2422	ytfQ,ytfR,ytfT,yjfF
KO04616	TU-2417	ytfP,tamB,tamA
KO04617	TU-2421	chpS,chpB
KO04343	TU-1885	feoA,feoB,feoC
KO04836	TU-2785	ybdJ,ybdF
KO04831	TU-2776	nfrA,ybcH
KO04832	TU-2778	nfrA,nfrB,ybcH
KO04833	TU-2780	cusR,cusS
KO04838	TU-2788	entD,fepA
KO04839	TU-2789	fepD,fepC,fepG
KO05573	TU-3939	araE,ygeA
KO03246	ybjC-nfsA	ybjC,nfsA
KO03247	artPIQM	artP,artM,artI,artQ
KO03244	araFGH	araH,araG,araF
KO03242	nikABCDE	nikE,nikB,nikA,nikC,nikD
KO05907	TU-4479	yijO,eptC
KO06188	TU-Exp-0765	slp,dctR
KO06189	TU-Exp-0766	dnaT,dnaC,yjjB,yjjA
KO06186	TU-Exp-0755	ilvB,ilvN,ivbL
KO06180	TU-Exp-0719	rpmB,mutM,rpmG
KO06181	TU-Exp-0727	arsC,arsB,arsR
KO06051	TU-Exp-0034	atpA,atpF,atpE,atpC,atpH,atpG,atpD,atpB
KO06052	TU-Exp-0035	lpxD,skp,fabZ,lpxA
KO06055	TU-Exp-0053	creD,creA,creC,creB
KO03468	TU-0395	ninE,ybcO,rusA,ylcG,ybcN,ylcH
KO05972	TU-4557	yjfN,bsmA
KO05409	TU-3669	fadJ,fre
KO05402	TU-3658	dedA,usg,truA,pdxB
KO05401	TU-3657	dedA,usg,truA
KO05406	TU-3663	prmB,mepA,aroC,yfcL,epmC,yfcA
KO05407	TU-3666	yfcV,yfcS,yfcR,yfcQ,yfcP,yfcO
KO03460	TU-0386	sfmD,sfmC
KO03461	TU-0387	sfmF,sfmH
KO06146	TU-Exp-0505	rpsA,ihfB
KO03467	TU-0394	ybcM,ybcL
KO05574	TU-3940	kduI,kduD
KO05358	TU-3588	fruA,fruK,fruB
KO03802	TU-1005	ydfA,rzpQ,ydfB
KO03804	TU-1008	dicB,ydfD
KO03808	TU-1012	ynfB,speG
KO05357	TU-3587	psuK,psuG
KO05355	TU-3585	rihB,nupX
KO05350	TU-3579	mglB,mglC,mglA
KO05351	TU-3580	folE,yeiB,galS
KO05753	TU-4245	yhhX,yhhW
KO05751	TU-4243	gntU,gntK
KO05756	TU-4251	ugpQ,ugpE,ugpC,ugpB,ugpA
KO05757	TU-4253	livF,livK,livH,livG,livM
KO05991	TU-4585	pyrB,pyrI,pyrL
KO03934	TU-1226	fliK,fliJ,fliH,fliF,fliG,fliI
KO03935	TU-1227	fliO,fliR,fliM,fliQ,fliP,fliL,fliN
KO03936	TU-1228	fliO,fliR,fliQ,fliP,fliN
KO03930	TU-1220	yedE,yedF
KO05194	TU-3337	menI,ydiJ
KO04116	TU-1505	pka,yfiP
KO04758	TU-2654	rclC,rclB
KO04028	TU-1366	arnF,arnE
KO04755	TU-2648	ykgM,ykgO
KO04022	TU-1359	glpC,glpB,glpA
